Timestamp,Battery_1,Battery_2,Battery_3,Battery_4,Battery_5,Battery_6,Battery_7,Temperature_1,Temperature_2,Total_Voltage,Current,SOC,Max_Cell_Voltage,Min_Cell_Voltage,Max_Temperature,Remaining_Capacity,Average_Voltage,MOS_Temperature,Limit_Status,Limit_Current,RTC_Time
2025-06-05 21:56:27.182,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.882,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:27.502,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.882,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:27.822,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:28.142,3.884,3.884,3.884,3.8890000000000002,3.8850000000000002,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:28.462,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:28.782,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.882,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:29.102,3.884,3.8850000000000002,3.884,3.8890000000000002,3.887,3.888,3.882,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.885,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:29.422,3.883,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:29.742,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.882,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:30.062,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:30.382,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:30.702,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
2025-06-05 21:56:31.022,3.884,3.884,3.884,3.8890000000000002,3.887,3.888,3.88,27,30,34.9,0.0,0.89,3.889,3.88,30,17.8,3.884,27,Disabled,0.0,25-00-06 06:00:05
